CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
271625   14.9898  11315    13.5944  7519     17.4011  anon (tgid:8143 range:0x7fae45000000-0x7fae4539ffff) anon (tgid:8143 range:0x7fae45000000-0x7fae4539ffff)
55288     3.0511  2486      2.9868  1153      2.6684  ext4                     /ext4
46820     2.5838  1975      2.3729  1067      2.4693  nf_conntrack             /nf_conntrack
42064     2.3213  2374      2.8522  1063      2.4601  libjvm.so                BacktraceBuilder::push(Method*, int, Thread*)
40198     2.2184  2217      2.6636  1094      2.5318  libjvm.so                java_lang_Throwable::fill_in_stack_trace(Handle, methodHandle, Thread*)
36740     2.0275  1618      1.9439  818       1.8931  igb                      /igb
26390     1.4563  1184      1.4225  561       1.2983  jbd2                     /jbd2
24183     1.3346  1066      1.2807  489       1.1317  bridge                   /bridge
23400     1.2913  1090      1.3096  519       1.2011  ip_tables                /ip_tables
16676     0.9203  829       0.9960  400       0.9257  libjvm.so                CodeHeap::find_start(void*) const
14912     0.8229  589       0.7077  334       0.7730  vmlinux                  udp_send_skb
12940     0.7141  559       0.6716  360       0.8331  vmlinux                  pciehp_enable_slot
11828     0.6527  335       0.4025  41        0.0949  libjvm.so                PhaseIdealLoop::get_late_ctrl(Node*, Node*)
11406     0.6294  469       0.5635  255       0.5901  vmlinux                  set_pte_vaddr
11061     0.6104  776       0.9323  60        0.1389  libjvm.so                IndexSetIterator::advance_and_next()
10090     0.5568  370       0.4445  199       0.4605  vmlinux                  ftrace_pid_write
9675      0.5339  412       0.4950  225       0.5207  vmlinux                  migration_thread
9644      0.5322  407       0.4890  198       0.4582  [vdso] (tgid:8143 range:0x7ffc8b3fd000-0x7ffc8b3fdfff) [vdso] (tgid:8143 range:0x7ffc8b3fd000-0x7ffc8b3fdfff)
8448      0.4662  350       0.4205  164       0.3795  libjvm.so                HandleMarkCleaner::~HandleMarkCleaner()
8343      0.4604  375       0.4505  167       0.3865  vmlinux                  shrink_dcache_for_umount_subtree
8290      0.4575  313       0.3761  182       0.4212  vmlinux                  kernel_thread
8094      0.4467  384       0.4614  158       0.3657  vmlinux                  vfs_load_quota_inode
7883      0.4350  362       0.4349  205       0.4744  vmlinux                  irq_entries_start
7635      0.4213  310       0.3724  170       0.3934  libjvm.so                jni_GetByteArrayRegion
7632      0.4212  348       0.4181  137       0.3171  libjvm.so                jni_GetObjectField
7349      0.4056  287       0.3448  119       0.2754  libpthread-2.12.so       pthread_getspecific
7289      0.4022  297       0.3568  181       0.4189  vmlinux                  try_to_wake_up
6936      0.3828  394       0.4734  164       0.3795  libjvm.so                PhaseChaitin::Split(unsigned int, ResourceArea*)
6698      0.3696  323       0.3881  178       0.4119  libjvm.so                ObjArrayKlass::allocate(int, Thread*)
6376      0.3519  245       0.2944  119       0.2754  libc-2.12.so             gettimeofday
6231      0.3439  287       0.3448  117       0.2708  vmlinux                  ip_route_output_slow
6045      0.3336  256       0.3076  140       0.3240  vmlinux                  get_dirty_limits
5954      0.3286  224       0.2691  94        0.2175  vmlinux                  system_call_after_swapgs
5735      0.3165  255       0.3064  122       0.2823  vmlinux                  __posix_lock_file
5716      0.3154  242       0.2908  110       0.2546  libjava.so               writeBytes
5680      0.3135  275       0.3304  93        0.2152  vmlinux                  fib_nl_newrule
5660      0.3124  243       0.2920  132       0.3055  nf_conntrack_ipv4        /nf_conntrack_ipv4
5585      0.3082  226       0.2715  120       0.2777  libjvm.so                jni_GetArrayLength
5563      0.3070  251       0.3016  152       0.3518  vmlinux                  select_task_rq_fair
5494      0.3032  284       0.3412  113       0.2615  vmlinux                  init_enter__pwritev
5396      0.2978  355       0.4265  37        0.0856  libjvm.so                PhaseChaitin::build_ifg_physical(ResourceArea*)
5322      0.2937  360       0.4325  736       1.7033  libc-2.12.so             memcpy
4919      0.2715  207       0.2487  114       0.2638  nf_nat                   /nf_nat
4913      0.2711  190       0.2283  65        0.1504  libjvm.so                ObjectMonitor::enter(Thread*)
4851      0.2677  205       0.2463  107       0.2476  libpthread-2.12.so       write
4659      0.2571  211       0.2535  107       0.2476  vmlinux                  do_exit
4427      0.2443  216       0.2595  86        0.1990  vmlinux                  mpage_readpages
4397      0.2427  171       0.2054  149       0.3448  libjvm.so                CollectedHeap::post_allocation_setup_array(KlassHandle, HeapWord*, int)
4392      0.2424  214       0.2571  75        0.1736  ebtables                 /ebtables
4301      0.2374  169       0.2030  84        0.1944  vmlinux                  __xfrm_policy_check
4284      0.2364  169       0.2030  99        0.2291  librt-2.12.so            clock_gettime
4255      0.2348  166       0.1994  90        0.2083  vmlinux                  load_elf_binary
4252      0.2346  258       0.3100  31        0.0717  libjvm.so                PhaseChaitin::interfere_with_live(unsigned int, IndexSet*)
4188      0.2311  181       0.2175  103       0.2384  libjvm.so                TypeArrayKlass::allocate_common(int, bool, Thread*)
4084      0.2254  191       0.2295  79        0.1828  vmlinux                  do_double_fault
4056      0.2238  283       0.3400  73        0.1689  libjvm.so                PhaseChaitin::gather_lrg_masks(bool)
4019      0.2218  178       0.2139  87        0.2013  vmlinux                  balance_dirty_pages
3999      0.2207  185       0.2223  76        0.1759  vmlinux                  ____pagevec_lru_deactivate
3996      0.2205  186       0.2235  99        0.2291  iptable_nat              /iptable_nat
3948      0.2179  178       0.2139  88        0.2037  vmlinux                  dequeue_entity
3933      0.2170  140       0.1682  69        0.1597  libjava.so               Java_java_io_RandomAccessFile_writeBytes
3845      0.2122  114       0.1370  24        0.0555  libjvm.so                PhaseIdealLoop::dom_depth(Node*) const
3834      0.2116  150       0.1802  112       0.2592  vmlinux                  copy_process
3792      0.2093  177       0.2127  60        0.1389  vmlinux                  vfs_quota_disable
3661      0.2020  170       0.2042  75        0.1736  vmlinux                  __d_free
3642      0.2010  157       0.1886  77        0.1782  vmlinux                  xfrm_tmpl_resolve
3576      0.1973  159       0.1910  93        0.2152  vmlinux                  xfrm_bundle_ok
3534      0.1950  149       0.1790  77        0.1782  vmlinux                  __shrink_dcache_sb
3529      0.1948  131       0.1574  60        0.1389  libjvm.so                jni_ExceptionOccurred
3450      0.1904  127       0.1526  70        0.1620  vmlinux                  aer_print_error
3429      0.1892  167       0.2006  79        0.1828  vmlinux                  init_exit__sendfile
3425      0.1890  153       0.1838  62        0.1435  vmlinux                  __dmar_enable_qi
3393      0.1872  176       0.2115  63        0.1458  vmlinux                  ip_route_output_flow
3381      0.1866  130       0.1562  53        0.1227  libjvm.so                JavaThread::thread_from_jni_environment(JNIEnv_*)
3332      0.1839  125       0.1502  77        0.1782  vmlinux                  init_exit__rt_sigtimedwait
3315      0.1829  140       0.1682  65        0.1504  vmlinux                  __ftrace_modify_code
3315      0.1829  137       0.1646  89        0.2060  vmlinux                  tc_ctl_tclass
3277      0.1808  117       0.1406  74        0.1713  libjvm.so                os::javaTimeMillis()
3273      0.1806  159       0.1910  57        0.1319  vmlinux                  dentry_path
3161      0.1744  111       0.1334  50        0.1157  libjvm.so                ObjectMonitor::EnterI(Thread*)
